Code,Customer,Device,Active,RedeemedAt
SAFARI-A92Y,,,TRUE,
SAFARI-AALZ,,,TRUE,
SAFARI-AFQB,,,TRUE,
SAFARI-ALXD,,,TRUE,
SAFARI-AM3V,,,TRUE,
SAFARI-ARRN,,,TRUE,
SAFARI-ATGR,,,TRUE,
SAFARI-AUYK,,,TRUE,
SAFARI-AVNW,,,TRUE,
SAFARI-AXY9,,,TRUE,
SAFARI-B3LR,,,TRUE,
SAFARI-B5N3,,,TRUE,
SAFARI-B6BU,,,TRUE,
SAFARI-B9DJ,,,TRUE,
SAFARI-BCYW,,,TRUE,
SAFARI-BDD7,,,TRUE,
SAFARI-BNYN,,,TRUE,
SAFARI-BPB2,,,TRUE,
SAFARI-BPZT,,,TRUE,
SAFARI-BQVT,,,TRUE,
SAFARI-BR2Q,,,TRUE,
SAFARI-BRL4,,,TRUE,
SAFARI-BUG4,,,TRUE,
SAFARI-BV9H,,,TRUE,
SAFARI-BXYF,,,TRUE,
SAFARI-BYQ8,,,TRUE,
SAFARI-C4XC,,,TRUE,
SAFARI-C5QA,,,TRUE,
SAFARI-C8TS,,,TRUE,
SAFARI-CA4M,,,TRUE,
SAFARI-CHFU,,,TRUE,
SAFARI-CJEQ,,,TRUE,
SAFARI-CJQ7,,,TRUE,
SAFARI-CPC3,,,TRUE,
SAFARI-CPMU,,,TRUE,
SAFARI-CQLR,,,TRUE,
SAFARI-CT7Z,,,TRUE,
SAFARI-CW9V,,,TRUE,
SAFARI-D3T7,,,TRUE,
SAFARI-DBVC,,,TRUE,
SAFARI-DEMG,,,TRUE,
SAFARI-DEWH,,,TRUE,
SAFARI-DFFU,,,TRUE,
SAFARI-DGXP,,,TRUE,
SAFARI-DQES,,,TRUE,
SAFARI-DUB8,,,TRUE,
SAFARI-DZ3T,,,TRUE,
SAFARI-E87Z,,,TRUE,
DANI-MASTER,Daniella (admin),,TRUE,
